patch_level,patch_steps,n_samples,unit_flip,random_flip,unit_minus_random,umr_ci_lo,umr_ci_hi,flip_to_donor,selectivity,wilcoxon_p
H,all,60,0.6899999999999998,0.4833333333333334,0.2066666666666667,0.12333333333333334,0.30000000000000004,0.25333333333333335,0.5624999999999999,6.240403770054247e-05
H,early,60,0.61,0.42666666666666664,0.18333333333333332,0.09658333333333341,0.27008333333333323,0.11,0.5899444444444444,0.00018037695824130523
H,late,60,0.6899999999999998,0.46333333333333343,0.22666666666666668,0.15,0.31,0.26999999999999996,0.5745,2.0473359601101685e-05
H,final,60,0.29666666666666663,0.13333333333333333,0.1633333333333333,0.10666666666666667,0.21666666666666667,0.12333333333333334,0.8275000000000002,9.824034940119828e-06
L,all,60,0.19333333333333336,0.15,0.04333333333333333,-2.3129646346336392e-20,0.09000000000000001,0.016666666666666666,0.8707777777777778,0.0761798631972323
L,early,60,0.16999999999999998,0.15,0.02,-0.03666666666666667,0.08333333333333334,0.013333333333333334,0.8826666666666666,0.6003321370240315
L,late,60,0.19,0.11333333333333333,0.07666666666666666,0.029999999999999992,0.13333333333333333,0.010000000000000002,0.9009444444444445,0.008207989971673959
L,final,60,0.04666666666666666,0.04000000000000001,0.006666666666666665,-0.023333333333333338,0.04,0.0033333333333333335,0.976111111111111,0.892738400944348
both,all,60,0.7566666666666665,0.48333333333333334,0.2733333333333333,0.19666666666666666,0.35333333333333333,0.2899999999999999,0.5607222222222223,4.861075373074821e-07
both,early,60,0.7033333333333331,0.4533333333333334,0.24999999999999997,0.16666666666666666,0.3266666666666667,0.1466666666666666,0.5810555555555555,1.5412437554495928e-06
both,late,60,0.7333333333333332,0.45,0.2833333333333333,0.20000000000000004,0.37000000000000005,0.2899999999999999,0.5785,6.388739208612369e-07
both,final,60,0.31333333333333335,0.15666666666666668,0.15666666666666665,0.10325000000000008,0.21666666666666667,0.08666666666666667,0.8217222222222222,8.759804411121427e-06
