scope,target,task,feature_set,use_z,metric,score,train_n,val_n,in_dim
global,is_solved,binary,z_H,-,acc,1.000000,64,16,514
global,is_solved,binary,z_L,-,acc,1.000000,64,16,514
global,is_solved,binary,concat,-,acc,1.000000,64,16,1026
global,is_solved,binary,diff,-,acc,1.000000,64,16,514
global,is_solved,binary,prod,-,acc,1.000000,64,16,514
global,is_solved,binary,concat_norms,-,acc,1.000000,64,16,1028
global,pct_filled,regression,z_H,-,r2,0.542092,64,16,514
global,pct_filled,regression,z_L,-,r2,0.525750,64,16,514
global,pct_filled,regression,concat,-,r2,0.370848,64,16,1026
global,pct_filled,regression,diff,-,r2,0.005232,64,16,514
global,pct_filled,regression,prod,-,r2,0.852340,64,16,514
global,pct_filled,regression,concat_norms,-,r2,0.404557,64,16,1028
global,violated_units_total,regression,z_H,-,r2,0.576880,64,16,514
global,violated_units_total,regression,z_L,-,r2,0.519878,64,16,514
global,violated_units_total,regression,concat,-,r2,0.584338,64,16,1026
global,violated_units_total,regression,diff,-,r2,0.475715,64,16,514
global,violated_units_total,regression,prod,-,r2,0.385764,64,16,514
global,violated_units_total,regression,concat_norms,-,r2,0.590865,64,16,1028
local,per_cell_correct,binary,z_only,z_H,acc,0.910108,41472,10368,541
local,per_cell_correct,binary,z_only,z_L,acc,0.909529,41472,10368,541
local,per_cell_correct,binary,concat,z_L,acc,0.911844,41472,10368,1053
local,per_cell_correct,binary,diff,z_L,acc,0.911458,41472,10368,541
local,per_cell_correct,binary,prod,z_L,acc,0.912134,41472,10368,541
local,per_cell_correct,binary,z_and_norms,z_H,acc,0.912134,41472,10368,542
local,per_cell_correct,binary,z_and_norms,z_L,acc,0.912037,41472,10368,542
local,is_forced_cell,binary,z_only,z_H,acc,1.000000,41472,10368,541
local,is_forced_cell,binary,z_only,z_L,acc,1.000000,41472,10368,541
local,is_forced_cell,binary,concat,z_L,acc,1.000000,41472,10368,1053
local,is_forced_cell,binary,diff,z_L,acc,1.000000,41472,10368,541
local,is_forced_cell,binary,prod,z_L,acc,1.000000,41472,10368,541
local,is_forced_cell,binary,z_and_norms,z_H,acc,1.000000,41472,10368,542
local,is_forced_cell,binary,z_and_norms,z_L,acc,1.000000,41472,10368,542
local,cell_changed_from_input,binary,z_only,z_H,acc,0.903164,41472,10368,541
local,cell_changed_from_input,binary,z_only,z_L,acc,0.895833,41472,10368,541
local,cell_changed_from_input,binary,concat,z_L,acc,0.893519,41472,10368,1053
local,cell_changed_from_input,binary,diff,z_L,acc,0.899884,41472,10368,541
local,cell_changed_from_input,binary,prod,z_L,acc,0.892458,41472,10368,541
local,cell_changed_from_input,binary,z_and_norms,z_H,acc,0.900463,41472,10368,542
local,cell_changed_from_input,binary,z_and_norms,z_L,acc,0.895833,41472,10368,542
local,row_idx,multiclass,z_only,z_H,acc,0.174865,41472,10368,541
local,row_idx,multiclass,z_only,z_L,acc,0.221258,41472,10368,541
local,row_idx,multiclass,concat,z_L,acc,0.171103,41472,10368,1053
local,row_idx,multiclass,diff,z_L,acc,0.197338,41472,10368,541
local,row_idx,multiclass,prod,z_L,acc,0.178916,41472,10368,541
local,row_idx,multiclass,z_and_norms,z_H,acc,0.163002,41472,10368,542
local,row_idx,multiclass,z_and_norms,z_L,acc,0.215567,41472,10368,542
local,col_idx,multiclass,z_only,z_H,acc,0.572338,41472,10368,541
local,col_idx,multiclass,z_only,z_L,acc,0.557967,41472,10368,541
local,col_idx,multiclass,concat,z_L,acc,0.398341,41472,10368,1053
local,col_idx,multiclass,diff,z_L,acc,0.538773,41472,10368,541
local,col_idx,multiclass,prod,z_L,acc,0.590085,41472,10368,541
local,col_idx,multiclass,z_and_norms,z_H,acc,0.513696,41472,10368,542
local,col_idx,multiclass,z_and_norms,z_L,acc,0.363522,41472,10368,542
